"Mid","Aid"
"5954","87841"
"2556","87841"
"8091","87841"
"5954","12514"
"5954","32972"
"3652","10354"
"9058","10354"
"7605","10354"
"3652","88103"
"2296","88103"
"6067","88103"
"8908","88103"
"4101","88103"
"8130","88103"
"8716","88103"
"7529","88103"
"6597","88103"
"2941","88103"
"8588","88103"
"2824","88103"
"3621","88103"
"4096","88103"
"5955","88103"
"3652","98642"
"7992","98642"
"6139","98642"
"5886","98642"
"9641","98642"
"3652","43178"
"7507","43178"
"7077","43178"
"8843","43178"
"9657","43178"
"6652","43178"
"3652","35281"
"3652","76328"
"4644","76328"
"3652","15811"
"1789","15811"
"8274","15811"
"2316","15811"
"7356","15811"
"6675","15811"
"3652","47761"
"3652","51450"
"4856","51450"
"3652","68606"
"4711","68606"
"5907","68606"
"2647","98214"
"2647","39897"
"2647","11243"
"2647","98973"
"2647","96837"
"2647","79125"
"2647","45910"
"2647","32699"
"2600","35843"
"2600","45636"
"2600","82429"
"2600","79821"
"2600","74425"
"2741","68847"
"5920","68847"
"2741","81741"
"3517","81741"
"2741","92286"
"2741","48058"
"2741","89014"
"8737","89014"
"2741","35724"
"5854","35724"
"2741","92000"
"2741","58204"
"8737","58204"
"2717","52503"
"7820","52503"
"4040","52503"
"6655","52503"
"9516","52503"
"9245","52503"
"6913","52503"
"2717","92561"
"4247","92561"
"6417","92561"
"2717","25665"
"3809","25665"
"3196","25665"
"4928","25665"
"2717","80898"
"2350","80898"
"6293","80898"
"1977","80898"
"9258","80898"
"6118","80898"
"2717","27395"
"6635","27395"
"7201","27395"
"1951","27395"
"5146","27395"
"8690","27395"
"3907","27395"
"2845","27395"
"2717","76726"
"6660","76726"
"6643","76726"
"4862","76726"
"7725","76726"
"3288","76726"
"9897","76726"
"2717","73548"
"2016","73548"
"4287","73548"
"1740","73548"
"2717","50050"
"9384","50050"
"7637","50050"
"8609","50050"
"1782","50050"
"2717","92332"
"2717","16073"
"6666","16073"
"8882","16073"
"8144","16073"
"5614","57429"
"9220","57429"
"4947","57429"
"9437","57429"
"2381","57429"
"2834","57429"
"4493","57429"
"9348","57429"
"6176","57429"
"1742","57429"
"8823","57429"
"2339","57429"
"7896","57429"
"7787","57429"
"5614","95549"
"5614","77108"
"3316","77108"
"4559","77108"
"8820","77108"
"3057","77108"
"6272","77108"
"6580","77108"
"8915","77108"
"1576","77108"
"8200","77108"
"5614","69384"
"6673","69384"
"4517","69384"
"2311","69384"
"6764","69384"
"3497","69384"
"6896","69384"
"7873","69384"
"9286","69384"
"7383","69384"
"6970","69384"
"5614","84143"
"3061","84143"
"4711","84143"
"5614","31455"
"5582","31455"
"6341","31455"
"5614","98265"
"2972","98265"
"5636","98265"
"5582","98265"
"1837","98265"
"5585","98265"
"5889","98265"
"6588","98265"
"3823","98265"
"8890","98265"
"9135","98265"
"7798","98265"
"3181","98265"
"2183","98265"
"4125","98265"
"8210","98265"
"3486","98265"
"4535","98265"
"7787","98265"
"6772","98265"
"5907","98265"
"5504","98265"
"9899","98265"
"5614","69464"
"9964","41338"
"9964","52494"
"6407","52494"
"9964","12183"
"9964","70670"
"2162","70670"
"9964","79272"
"9964","97253"
"2630","97253"
"4266","97253"
"9964","27921"
"9964","79955"
"1917","35644"
"1917","90620"
"1917","93202"
"1917","94568"
"1917","26781"
"1917","32050"
"9247","32050"
"1917","27005"
"1917","51884"
"1917","31471"
"1917","54632"
"8062","51266"
"5320","51266"
"8062","11641"
"5998","11641"
"8062","70775"
"9852","70775"
"3217","70775"
"8062","22407"
"6229","22407"
"8062","43244"
"8062","23779"
"8062","70841"
"5998","70841"
"8062","40824"
"8062","89893"
"8062","78383"
"4042","78383"
"2366","88028"
"2366","79717"
"2366","25340"
"2366","60642"
"2366","21087"
"2366","95013"
"7396","95013"
"2366","13064"
"5998","43275"
"5998","64977"
"5998","58726"
"5320","75742"
"5320","21317"
"5320","70577"
"5320","76435"
"5320","74529"
"4874","74529"
"5320","39296"
"5320","61208"
"5320","30863"
"7396","89643"
"6229","89643"
"7396","75207"
"7396","46629"
"7396","86095"
"7396","99649"
"7396","16663"
"7396","64975"
"7396","77637"
"7396","20340"
"4042","20340"
"2317","26980"
"2317","56974"
"2317","90640"
"2317","29740"
"2317","20017"
"2317","58871"
"2317","59957"
"2317","23618"
"6229","77565"
"6229","58134"
"2163","70431"
"4718","70431"
"8916","70431"
"2163","38574"
"5650","38574"
"5074","38574"
"2163","20588"
"3749","20588"
"2163","11933"
"2597","11933"
"2163","14207"
"7251","14207"
"5014","14207"
"2163","98433"
"6630","98433"
"2218","35180"
"9733","35180"
"4639","35180"
"1999","55729"
"1999","87124"
"1999","63916"
"1999","49861"
"8574","49861"
"4630","49861"
"1999","29422"
"1999","78589"
"1999","18223"
"1999","77393"
"4544","11678"
"4544","61974"
"4544","67356"
"4544","38020"
"4544","92303"
"8315","24184"
"8315","23957"
"8315","14406"
"7442","14406"
"8315","16933"
"8261","16933"
"7872","62966"
"5648","62966"
"2619","62966"
"7872","43032"
"7872","97239"
"1555","97239"
"7886","97239"
"7599","97239"
"2704","97239"
"4776","97239"
"6691","97239"
"9091","97239"
"7872","77581"
"9437","77581"
"7872","10468"
"6026","10468"
"2293","10468"
"8088","10468"
"2569","10468"
"7872","73723"
"9658","45859"
"5808","45859"
"9551","45859"
"9658","94628"
"9658","96897"
"8806","96897"
"9658","32911"
"2935","32911"
"5808","32911"
"9658","94383"
"3045","94383"
"5859","94383"
"4471","94383"
"9658","90556"
"9658","22411"
"9658","29922"
"3615","29922"
"9658","78746"
"4883","78746"
"4687","78746"
"9658","99817"
"2408","99817"
"8791","99817"
"2295","99817"
"6346","99817"
"9658","50257"
"5046","50257"
"8806","50257"
"9074","50257"
"7902","50257"
"4717","50257"
"9658","58955"
"9658","52227"
"9658","70365"
"9658","42769"
"8518","42769"
"5097","70266"
"8082","70266"
"1953","70266"
"5097","99269"
"9214","99269"
"5046","99269"
"7730","99269"
"3142","99269"
"5097","50451"
"6437","50451"
"2912","50451"
"5097","84031"
"3969","84031"
"5097","32958"
"5097","27492"
"5270","27492"
"5097","58390"
"5097","81404"
"5097","24426"
"2176","24426"
"4530","24426"
"3760","24426"
"5199","71293"
"6635","33415"
"8960","33415"
"3049","33415"
"6635","96150"
"7984","96150"
"9011","96150"
"5146","96150"
"6902","96150"
"7408","96150"
"2973","96150"
"6635","31198"
"1823","31198"
"9534","31198"
"3835","31198"
"2577","31198"
"8862","31198"
"7511","31198"
"4757","31198"
"3958","31198"
"6635","56700"
"1874","56700"
"2166","56700"
"3331","56700"
"8952","56700"
"6333","56700"
"6119","56700"
"6635","48762"
"4436","48762"
"4664","48762"
"6635","71156"
"9326","71156"
"6220","71156"
"8983","71156"
"6635","13086"
"7193","13086"
"9326","13086"
"1834","13086"
"6635","88330"
"1620","88330"
"2284","32416"
"2284","56911"
"3734","56911"
"9499","56911"
"2284","25693"
"2284","11559"
"2052","11559"
"2284","90916"
"2284","98413"
"2284","50872"
"2284","79591"
"2284","82145"
"2284","18057"
"8288","51972"
"7942","51972"
"6219","51972"
"6318","51972"
"5378","51972"
"9050","51972"
"8288","25280"
"5051","25280"
"2910","25280"
"6599","25280"
"8288","62238"
"6318","62238"
"8288","76628"
"2910","76628"
"6393","76628"
"8288","34752"
"8288","59005"
"8288","92132"
"3779","92132"
"9427","92132"
"5884","92132"
"7116","92132"
"9226","92132"
"7127","92132"
"8630","43724"
"2643","43724"
"8630","80977"
"8630","85931"
"3317","85931"
"7251","85931"
"1690","85931"
"8630","20330"
"6826","20330"
"3049","20330"
"7344","20330"
"9534","20330"
"1834","20330"
"3249","20330"
"6119","20330"
"5995","20330"
"8630","17206"
"3872","17206"
"6073","17206"
"7689","17206"
"5768","17206"
"6991","17206"
"9006","17206"
"4374","17206"
"3856","17206"
"8630","22172"
"3781","22172"
"3684","22172"
"8630","84828"
"8630","67035"
"9552","88527"
"9552","43075"
"9552","51947"
"9552","74090"
"3746","74090"
"9552","37650"
"9552","46894"
"9552","21155"
"4343","21155"
"9552","29456"
"9552","11675"
"9552","47167"
"6072","47167"
"9552","91774"
"3071","81366"
"2033","81366"
"8761","81366"
"3013","81366"
"6767","81366"
"5699","81366"
"9400","81366"
"5995","81366"
"3071","35894"
"5861","35894"
"8142","35894"
"2774","35894"
"4051","35894"
"8431","35894"
"7237","35894"
"7854","35894"
"3071","68110"
"3232","68110"
"3071","44479"
"3071","97805"
"5900","39476"
"5974","39476"
"4846","39476"
"6952","39476"
"5900","47106"
"4702","47106"
"5900","75936"
"6530","75936"
"8766","75936"
"3765","75936"
"5593","75936"
"5900","76993"
"5900","39316"
